Model,Group,Model Number,Model Version,AvgDockQ
T1249v1TS114_3o,TS114,3o,v1,0.016
T1249v1TS337_1o,TS337,1o,v1,0.016
T1249v2TS337_1o,TS337,1o,v2,0.016
T1249v2TS196_5o,TS196,5o,v2,0.016
T1249v1TS337_4o,TS337,4o,v1,0.015
T1249v1TS300_2o,TS300,2o,v1,0.015
T1249v2TS337_4o,TS337,4o,v2,0.015
T1249v2TS300_2o,TS300,2o,v2,0.015
T1249v2TS139_3o,TS139,3o,v2,0.015
T1249v1TS023_3o,TS023,3o,v1,0.014
T1249v2TS023_3o,TS023,3o,v2,0.014
T1249v2TS489_3o,TS489,3o,v2,0.014
T1249v1TS300_4o,TS300,4o,v1,0.014
T1249v2TS300_4o,TS300,4o,v2,0.014
T1249v1TS300_3o,TS300,3o,v1,0.014
T1249v1TS300_5o,TS300,5o,v1,0.014
T1249v2TS300_5o,TS300,5o,v2,0.014
T1249v2TS114_2o,TS114,2o,v2,0.014
T1249v2TS300_3o,TS300,3o,v2,0.014
T1249v1TS114_2o,TS114,2o,v1,0.014
T1249v1TS465_4o,TS465,4o,v1,0.014
T1249v1TS031_2o,TS031,2o,v1,0.014
T1249v2TS196_2o,TS196,2o,v2,0.014
T1249v1TS196_3o,TS196,3o,v1,0.014
T1249v2TS465_5o,TS465,5o,v2,0.013
T1249v2TS337_2o,TS337,2o,v2,0.013
T1249v1TS337_2o,TS337,2o,v1,0.013
T1249v1TS139_4o,TS139,4o,v1,0.013
T1249v1TS139_2o,TS139,2o,v1,0.013
T1249v1TS031_3o,TS031,3o,v1,0.013
T1249v2TS196_1o,TS196,1o,v2,0.013
T1249v2TS489_4o,TS489,4o,v2,0.013
T1249v2TS014_6o,TS014,6o,v2,0.013
T1249v1TS196_4o,TS196,4o,v1,0.013
T1249v1TS294_3o,TS294,3o,v1,0.012
T1249v1TS489_2o,TS489,2o,v1,0.012
T1249v2TS337_5o,TS337,5o,v2,0.012
T1249v1TS337_5o,TS337,5o,v1,0.012
T1249v1TS337_3o,TS337,3o,v1,0.012
T1249v1TS114_1o,TS114,1o,v1,0.012
T1249v1TS085_5o,TS085,5o,v1,0.012
T1249v1TS085_4o,TS085,4o,v1,0.012
T1249v1TS085_3o,TS085,3o,v1,0.012
T1249v1TS085_1o,TS085,1o,v1,0.012
T1249v1TS085_2o,TS085,2o,v1,0.012
T1249v2TS337_3o,TS337,3o,v2,0.012
T1249v2TS196_4o,TS196,4o,v2,0.012
T1249v2TS114_1o,TS114,1o,v2,0.012
T1249v2TS489_1o,TS489,1o,v2,0.012
T1249v2TS014_5o,TS014,5o,v2,0.012
T1249v2TS014_4o,TS014,4o,v2,0.012
T1249v2TS300_1o,TS300,1o,v2,0.012
T1249v1TS300_1o,TS300,1o,v1,0.012
T1249v1TS031_1o,TS031,1o,v1,0.011
T1249v2TS085_2o,TS085,2o,v2,0.011
T1249v2TS085_1o,TS085,1o,v2,0.011
T1249v2TS489_2o,TS489,2o,v2,0.011
T1249v2TS085_3o,TS085,3o,v2,0.011
T1249v2TS085_4o,TS085,4o,v2,0.011
T1249v2TS085_5o,TS085,5o,v2,0.011
T1249v1TS196_1o,TS196,1o,v1,0.011
T1249v1TS323_1o,TS323,1o,v1,0.01
T1249v1TS117_3o,TS117,3o,v1,0.01
T1249v1TS139_3o,TS139,3o,v1,0.01
T1249v1TS139_5o,TS139,5o,v1,0.01
T1249v1TS139_1o,TS139,1o,v1,0.01
T1249v1TS122_1o,TS122,1o,v1,0.01
T1249v2TS008_3o,TS008,3o,v2,0.01
T1249v2TS139_2o,TS139,2o,v2,0.01
T1249v1TS075_3o,TS075,3o,v1,0.01
T1249v1TS264_1o,TS264,1o,v1,0.01
T1249v1TS475_3o,TS475,3o,v1,0.01
T1249v1TS312_1o,TS312,1o,v1,0.01
T1249v1TS284_3o,TS284,3o,v1,0.01
T1249v1TS196_2o,TS196,2o,v1,0.01
T1249v1TS196_5o,TS196,5o,v1,0.01
T1249v2TS139_5o,TS139,5o,v2,0.01
T1249v1TS147_4o,TS147,4o,v1,0.009
T1249v1TS147_3o,TS147,3o,v1,0.009
T1249v1TS147_2o,TS147,2o,v1,0.009
T1249v1TS148_5o,TS148,5o,v1,0.009
T1249v1TS147_1o,TS147,1o,v1,0.009
T1249v1TS122_5o,TS122,5o,v1,0.009
T1249v1TS122_4o,TS122,4o,v1,0.009
T1249v1TS122_2o,TS122,2o,v1,0.009
T1249v1TS110_5o,TS110,5o,v1,0.009
T1249v1TS110_4o,TS110,4o,v1,0.009
T1249v1TS110_3o,TS110,3o,v1,0.009
T1249v1TS110_2o,TS110,2o,v1,0.009
T1249v1TS110_1o,TS110,1o,v1,0.009
T1249v1TS117_5o,TS117,5o,v1,0.009
T1249v1TS075_1o,TS075,1o,v1,0.009
T1249v1TS462_2o,TS462,2o,v1,0.009
T1249v1TS028_1o,TS028,1o,v1,0.009
T1249v2TS008_4o,TS008,4o,v2,0.009
T1249v2TS139_4o,TS139,4o,v2,0.009
T1249v2TS167_5o,TS167,5o,v2,0.009
T1249v2TS139_1o,TS139,1o,v2,0.009
T1249v2TS450_5o,TS450,5o,v2,0.009
T1249v1TS075_4o,TS075,4o,v1,0.009
T1249v1TS075_5o,TS075,5o,v1,0.009
T1249v1TS462_5o,TS462,5o,v1,0.009
T1249v1TS462_4o,TS462,4o,v1,0.009
T1249v1TS462_3o,TS462,3o,v1,0.009
T1249v1TS462_1o,TS462,1o,v1,0.009
T1249v1TS264_2o,TS264,2o,v1,0.009
T1249v1TS264_3o,TS264,3o,v1,0.009
T1249v1TS264_4o,TS264,4o,v1,0.009
T1249v1TS264_6o,TS264,6o,v1,0.009
T1249v1TS475_4o,TS475,4o,v1,0.009
T1249v1TS475_5o,TS475,5o,v1,0.009
T1249v1TS475_1o,TS475,1o,v1,0.009
T1249v1TS312_4o,TS312,4o,v1,0.009
T1249v1TS312_3o,TS312,3o,v1,0.009
T1249v1TS312_2o,TS312,2o,v1,0.009
T1249v1TS284_5o,TS284,5o,v1,0.009
T1249v1TS284_4o,TS284,4o,v1,0.009
T1249v1TS284_1o,TS284,1o,v1,0.009
T1249v1TS204_3o,TS204,3o,v1,0.009
T1249v1TS148_3o,TS148,3o,v1,0.009
T1249v1TS148_2o,TS148,2o,v1,0.009
T1249v1TS147_5o,TS147,5o,v1,0.009
T1249v1TS294_2o,TS294,2o,v1,0.008
T1249v1TS122_3o,TS122,3o,v1,0.008
T1249v1TS015_6o,TS015,6o,v1,0.008
T1249v1TS023_1o,TS023,1o,v1,0.008
T1249v1TS031_4o,TS031,4o,v1,0.008
T1249v1TS075_2o,TS075,2o,v1,0.008
T1249v1TS028_2o,TS028,2o,v1,0.008
T1249v2TS023_1o,TS023,1o,v2,0.008
T1249v2TS465_1o,TS465,1o,v2,0.008
T1249v2TS015_6o,TS015,6o,v2,0.008
T1249v2TS489_5o,TS489,5o,v2,0.008
T1249v1TS028_3o,TS028,3o,v1,0.008
T1249v1TS028_4o,TS028,4o,v1,0.008
T1249v1TS028_5o,TS028,5o,v1,0.008
T1249v1TS262_5o,TS262,5o,v1,0.008
T1249v1TS264_5o,TS264,5o,v1,0.008
T1249v1TS393_5o,TS393,5o,v1,0.008
T1249v1TS475_2o,TS475,2o,v1,0.008
T1249v1TS312_5o,TS312,5o,v1,0.008
T1249v1TS294_1o,TS294,1o,v1,0.008
T1249v1TS290_3o,TS290,3o,v1,0.008
T1249v1TS284_2o,TS284,2o,v1,0.008
T1249v1TS148_4o,TS148,4o,v1,0.008
T1249v2TS196_3o,TS196,3o,v2,0.007
T1249v1TS117_4o,TS117,4o,v1,0.007
T1249v1TS465_5o,TS465,5o,v1,0.007
T1249v2TS014_3o,TS014,3o,v2,0.007
T1249v2TS014_2o,TS014,2o,v2,0.007
T1249v1TS465_2o,TS465,2o,v1,0.007
T1249v2TS465_4o,TS465,4o,v2,0.007
T1249v1TS148_1o,TS148,1o,v1,0.007
T1249v1TS023_2o,TS023,2o,v1,0.006
T1249v2TS345_6o,TS345,6o,v2,0.006
T1249v2TS023_2o,TS023,2o,v2,0.006
T1249v1TS465_3o,TS465,3o,v1,0.006
T1249v1TS345_6o,TS345,6o,v1,0.006
T1249v1TS023_5o,TS023,5o,v1,0.005
T1249v1TS023_4o,TS023,4o,v1,0.005
T1249v2TS023_5o,TS023,5o,v2,0.005
T1249v2TS023_4o,TS023,4o,v2,0.005
